Region/Country/Area,Year,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2)
Saint Kitts and Nevis,2011,,,200.0231,0.052,,,97.0024,
Saint Kitts and Nevis,2017,,,212.8654,0.0553,,,,0.261
Saint Kitts and Nevis,2020,,,218.5115,0.0568,,,,
Saint Lucia,2005,27.7615,9.6318,267.8967,0.1634,0.0833,0.0801,96.2364,
Saint Lucia,2010,23.2157,11.8637,285.3852,0.1741,0.0884,0.0857,96.9055,
Saint Lucia,2017,18.9087,13.5919,296.6459,0.181,0.0918,0.0891,97.0372,0.539
Saint Lucia,2020,17.9527,14.8796,301.0279,0.1836,0.0932,0.0904,97.012,
Saint Martin (French part),2005,,,646.1887,0.0342,,,,
Saint Martin (French part),2010,,,709.0943,0.0376,,,,
Saint Martin (French part),2020,,,729.5472,0.0387,,,,
Saint Pierre and Miquelon,2005,,,27.2217,0.0063,,,,
Saint Pierre and Miquelon,2006,19.0531,17.7796,27.2174,0.0063,,,98.1559,
Saint Pierre and Miquelon,2010,,,27.2783,0.0063,,,,
Saint Pierre and Miquelon,2017,,,27.4783,0.0063,,,,0.242
Saint Pierre and Miquelon,2020,,,27.8565,0.0064,,,,
Saint Vincent & Grenadines,2005,28.5543,9.3238,278.4974,0.1086,0.0537,0.0549,102.0969,
Saint Vincent & Grenadines,2010,25.8334,11.3085,277.5769,0.1083,0.0532,0.0551,103.657,
Saint Vincent & Grenadines,2017,22.9424,13.6961,281.6077,0.1098,0.054,0.0558,103.438,0.389
Saint Vincent & Grenadines,2020,21.9019,14.6773,284.4615,0.1109,0.0547,0.0562,102.7207,
Samoa,2005,39.6051,6.8493,63.5078,0.1797,0.0866,0.0931,107.548,
Samoa,2010,38.3089,7.0923,65.7064,0.1859,0.09,0.096,106.6848,
Samoa,2017,38.5412,7.3677,69.029,0.1954,0.0943,0.1011,107.1731,2.8418
Samoa,2020,37.1985,8.0398,70.111,0.1984,0.0957,0.1027,107.3098,
San Marino,2004,15.1798,21.5212,481.1,0.0289,,,96.1838,
San Marino,2005,,,487.3333,0.0292,,,96.1412,
San Marino,2010,20.9317,21.6103,518.5,0.0311,,,93.5074,
San Marino,2015,14.9653,24.0856,549.3333,0.033,,,94.8709,0.061
San Marino,2017,,,556.6667,0.0334,,,,0.061
San Marino,2020,,,563.4833,0.0338,,,,
Sao Tome and Principe,2005,43.9977,4.6986,164.0333,0.1575,0.0795,0.0779,97.9933,
Sao Tome and Principe,2010,43.4066,4.4048,187.8865,0.1804,0.0902,0.0902,99.9357,
Sao Tome and Principe,2017,42.855,4.6593,215.7177,0.2071,0.1035,0.1036,100.1295,0.964
Sao Tome and Principe,2020,41.7578,4.9854,228.2906,0.2192,0.1095,0.1097,100.1726,
Saudi Arabia,2005,33.8739,4.4469,11.0789,23.8162,10.5553,13.2609,125.6334,
Saudi Arabia,2010,29.7035,4.4554,12.756,27.4215,11.994,15.4275,128.627,
Saudi Arabia,2017,25.2591,5.4265,15.3981,33.1012,14.1261,18.9751,134.327,2206.714
Saudi Arabia,2020,24.6962,5.8508,16.1948,34.8139,14.6826,20.1313,137.1103,
Senegal,2005,43.7444,4.9494,57.602,11.0901,5.6727,5.4175,95.5009,
Senegal,2010,43.507,4.764,65.8502,12.6781,6.5058,6.1723,94.8736,
Senegal,2017,43.2363,4.7755,80.0881,15.4194,7.9126,7.5068,94.8715,196.712
Senegal,2020,42.5916,4.8154,86.9679,16.7439,8.5731,8.1708,95.3067,
Serbia,2005,18.7143,18.8048,105.1203,9.1938,4.6927,4.5011,95.9154,
Serbia,2010,17.3351,21.0905,102.8042,8.9913,4.5848,4.4065,96.1106,
Serbia,2017,15.8259,24.8725,100.9562,8.8296,4.5026,4.327,96.0989,88.499
Serbia,2020,15.3671,25.3287,99.9013,8.7374,4.4577,4.2797,96.0054,
Seychelles,2005,24.9662,9.1124,192.713,0.0886,0.0444,0.0443,99.8782,
Seychelles,2010,22.8118,9.9218,198.4,0.0913,0.0442,0.0471,106.5888,
Seychelles,2017,23.479,11.5819,209.6043,0.0964,0.0469,0.0495,105.6566,0.457
Seychelles,2020,23.7669,12.9897,213.7978,0.0983,0.0479,0.0504,105.2984,
Sierra Leone,2005,43.7412,5.0066,78.2159,5.6456,2.8406,2.805,98.748,
Sierra Leone,2010,43.0379,4.8143,88.8838,6.4156,3.223,3.1926,99.056,
Sierra Leone,2017,41.3566,4.6463,103.7465,7.4884,3.7545,3.7339,99.4519,72.3
Sierra Leone,2020,40.3436,4.6297,110.5151,7.977,3.9957,3.9812,99.6369,
Singapore,2005,17.2276,10.7364,6093.8386,4.2657,2.1096,2.1561,102.2007,
Singapore,2010,13.9939,12.6714,7330.2457,5.1312,2.456,2.6751,108.9214,
Singapore,2017,12.2125,17.7681,8154.3443,5.708,2.7206,2.9875,109.8113,0.719
Singapore,2020,12.3012,20.9345,8357.6314,5.8503,2.7881,3.0623,109.8337,
Sint Maarten (Dutch part),2005,,,956.7941,0.0325,,,93.8574,
Sint Maarten (Dutch part),2010,,,974.2353,0.0331,,,91.0051,
Sint Maarten (Dutch part),2013,20.9892,10.4212,1071.7353,0.0364,,,95.8327,0.034
Sint Maarten (Dutch part),2014,,,1108.7353,0.0377,,,95.7097,0.034
Sint Maarten (Dutch part),2017,,,1180.0,0.0401,,,,0.034
Sint Maarten (Dutch part),2020,,,1216.5882,0.0414,,,,
Slovakia,2005,16.8224,16.1126,112.2726,5.399,2.7815,2.6175,94.1036,
Slovakia,2010,15.3351,17.8209,112.3834,5.4043,2.783,2.6213,94.1923,
Slovakia,2017,15.3377,21.8289,113.2902,5.4479,2.7981,2.6498,94.6981,49.035
Slovakia,2020,15.5535,23.3266,113.5344,5.4596,2.8012,2.6585,94.9062,
Slovenia,2005,13.9687,20.8174,99.0554,1.995,1.0195,0.9755,95.685,
Slovenia,2010,13.9905,22.1767,101.4567,2.0433,1.0309,1.0125,98.2176,
Slovenia,2017,14.9022,26.2317,103.098,2.0764,1.0438,1.0326,98.9355,20.273
Slovenia,2020,15.1364,27.741,103.2243,2.0789,1.0437,1.0352,99.1883,
Solomon Islands,2005,41.3149,4.8687,16.7888,0.4699,0.2299,0.2401,104.4411,
Solomon Islands,2010,40.7516,5.1199,18.8589,0.5279,0.2597,0.2682,103.2776,
Solomon Islands,2017,40.3538,5.3901,22.7238,0.636,0.3127,0.3234,103.4294,28.896
Solomon Islands,2020,40.03,5.6257,24.5403,0.6869,0.3376,0.3493,103.4495,
Somalia,2005,47.8879,4.2554,16.6526,10.4469,5.2204,5.2265,100.1166,
Somalia,2010,48.1745,4.3753,19.1983,12.0439,6.0278,6.016,99.8042,
Somalia,2017,46.753,4.5308,23.2556,14.5892,7.3133,7.2759,99.4879,637.657
Somalia,2020,46.1499,4.5561,25.3343,15.8932,7.9691,7.9241,99.4348,
South Africa,2005,30.8813,7.0339,39.4699,47.8806,24.2731,23.6075,97.2576,
South Africa,2010,29.6717,7.1703,42.2203,51.217,25.9475,25.2695,97.3872,
South Africa,2017,29.1503,8.1469,46.9955,57.0098,28.8883,28.1214,97.3454,1221.037
South Africa,2020,28.8011,8.5355,48.8906,59.3087,30.0927,29.216,97.0868,
South Sudan,2005,44.2719,5.1209,12.3347,7.5359,3.7761,3.7599,99.5705,
South Sudan,2010,43.5183,5.1908,15.5632,9.5084,4.7559,4.7525,99.9291,
South Sudan,2017,42.0568,5.1207,17.8586,10.9108,5.4513,5.4595,100.1506,658.841
South Sudan,2020,41.3278,5.1518,18.3218,11.1937,5.5907,5.603,100.22,
Spain,2005,14.2466,21.5876,88.25,44.0191,22.3033,21.7158,97.3662,
Spain,2010,14.7934,22.2385,94.0878,46.931,23.7349,23.1961,97.7302,
Spain,2017,14.7033,24.7956,93.5193,46.6474,23.7514,22.896,96.3985,505.944
Spain,2020,14.3995,26.2643,93.7345,46.7548,23.7764,22.9783,96.6433,
Sri Lanka,2005,25.5847,10.3786,311.6726,19.545,9.9065,9.6385,97.2944,
Sri Lanka,2010,25.3783,11.9231,323.1022,20.2617,10.3954,9.8663,94.9101,
Sri Lanka,2017,24.4071,14.9572,336.9165,21.128,10.9698,10.1582,92.6015,65.61
Sri Lanka,2020,23.6849,16.4347,341.4647,21.4132,11.1459,10.2674,92.1177,
State of Palestine,2005,45.5201,4.0219,594.3457,3.578,1.7608,1.8172,103.2004,
State of Palestine,2010,42.2937,4.3586,673.6929,4.0556,1.9979,2.0577,102.9905,
State of Palestine,2017,39.2627,4.678,788.5759,4.7472,2.3389,2.4083,102.9652,6.02
State of Palestine,2020,38.3611,4.9381,847.411,5.1014,2.5144,2.587,102.8844,
Sudan,2005,43.4706,4.8484,17.5347,30.9495,15.4343,15.5152,100.5241,
Sudan,2010,42.9944,5.0892,19.5717,34.545,17.3127,17.2323,99.5353,
Sudan,2020,39.7994,5.6697,24.8431,43.8493,21.942,21.9073,99.842,
Suriname,2005,31.318,8.5137,3.2017,0.4995,0.2475,0.2519,101.7698,
Suriname,2010,29.4031,9.0571,3.3919,0.5291,0.2626,0.2665,101.492,
Suriname,2017,27.4331,10.0325,3.657,0.5705,0.2836,0.2869,101.176,163.82
Suriname,2020,26.6654,10.8172,3.7605,0.5866,0.2918,0.2948,101.0315,
Sweden,2005,17.4046,23.4604,22.0272,9.0386,4.5565,4.4821,98.3661,
Sweden,2010,16.5079,24.8655,22.8839,9.3902,4.713,4.6772,99.24,
Sweden,2017,17.4952,25.4847,24.1383,9.9049,4.9492,4.9557,100.1327,438.574
Sweden,2020,17.6236,25.9444,24.6119,10.0993,5.0403,5.0589,100.3695,
Switzerland,2005,16.2893,21.2633,186.9323,7.3868,3.7708,3.616,95.8943,
Switzerland,2010,15.0583,22.8281,197.6079,7.8087,3.9637,3.845,97.0058,
Switzerland,2017,14.8725,24.0979,213.9843,8.4558,4.2659,4.1899,98.22,41.291
Switzerland,2020,14.9586,25.2887,219.0156,8.6546,4.361,4.2936,98.4563,
Syrian Arab Republic,2005,39.3293,4.9245,99.9901,18.3612,8.9929,9.3683,104.1743,
Syrian Arab Republic,2010,37.3903,5.0099,116.3346,21.3625,10.5775,10.7851,101.9623,
Syrian Arab Republic,2017,31.8295,6.775,93.0985,17.0957,8.5033,8.5923,101.0466,185.18
Syrian Arab Republic,2020,30.7747,7.5323,95.3039,17.5007,8.7406,8.7601,100.2228,
Tajikistan,2005,38.0254,5.0701,48.509,6.7893,3.3762,3.4131,101.0916,
Tajikistan,2010,35.6773,4.7783,53.7825,7.5274,3.7296,3.7978,101.8308,
Tajikistan,2017,36.4524,5.1588,63.4486,8.8803,4.402,4.4783,101.7348,142.6
Tajikistan,2020,37.2701,5.7616,68.1455,9.5376,4.7319,4.8057,101.5603,
Thailand,2005,21.2858,11.1388,128.0436,65.4162,33.2425,32.1737,96.7848,
Thailand,2010,19.1838,12.9412,131.5254,67.195,34.2638,32.9313,96.1111,
Thailand,2017,17.3538,17.0012,135.4691,69.2098,35.458,33.7518,95.1882,513.12
Thailand,2020,16.5525,19.2151,136.6243,69.8,35.8339,33.9661,94.7875,
Timor-Leste,2005,44.6618,5.921,66.9223,0.9951,0.4925,0.5026,102.0482,
Timor-Leste,2010,42.5343,6.3372,73.5389,1.0935,0.5408,0.5527,102.2129,
Timor-Leste,2017,38.3023,6.3523,83.6085,1.2433,0.6149,0.6284,102.2051,14.919
Timor-Leste,2020,36.8319,6.5724,88.6648,1.3184,0.6522,0.6662,102.153,
Togo,2005,42.777,4.4863,103.1741,5.6116,2.8349,2.7767,97.9455,
Togo,2010,42.787,4.433,118.0673,6.4217,3.236,3.1856,98.4423,
Togo,2017,41.6376,4.5862,141.5421,7.6985,3.871,3.8275,98.8749,56.785
Togo,2020,40.6363,4.6929,152.2104,8.2787,4.1593,4.1194,99.04,
Tokelau,2001,40.7287,9.499,150.3,0.0015,,,98.067,
Tokelau,2005,,,120.8,0.0012,,,,
Tokelau,2006,36.5769,11.2945,116.7,0.0012,,,102.6408,
Tokelau,2010,,,114.0,0.0011,,,,
Tokelau,2016,28.2751,12.2022,128.2,0.0013,,,100.0,
Tokelau,2017,,,130.0,0.0013,,,,0.012
Tokelau,2020,,,135.7,0.0014,,,,
Tonga,2005,38.2062,8.1621,140.1458,0.1009,0.0503,0.0507,100.788,
Tonga,2010,37.4079,7.8549,144.425,0.104,0.0519,0.0521,100.5381,
Tonga,2017,35.7831,8.6629,141.6639,0.102,0.051,0.051,99.9843,0.747
Tonga,2020,34.7651,8.7242,146.7986,0.1057,0.0528,0.0529,100.2103,
Trinidad and Tobago,2005,21.8509,10.8082,252.7294,1.2965,0.6533,0.6432,98.4678,
Trinidad and Tobago,2010,20.7224,12.4367,258.8981,1.3281,0.6704,0.6578,98.1163,
Trinidad and Tobago,2017,20.5385,15.3902,269.7971,1.3841,0.7,0.6841,97.7288,5.127
Trinidad and Tobago,2020,20.0622,16.925,272.8047,1.3995,0.7085,0.6909,97.5165,
Tunisia,2005,25.4918,10.052,65.0539,10.1068,5.0485,5.0583,100.1947,
Tunisia,2010,23.3332,10.3837,68.4555,10.6352,5.3322,5.303,99.4528,
Tunisia,2017,24.1116,12.3694,73.5932,11.4334,5.7681,5.6654,98.2189,163.61
Tunisia,2020,24.2907,13.4325,76.0725,11.8186,5.9579,5.8608,98.37,
Turkey,2005,28.6,9.5561,88.2287,67.9035,34.4839,33.4196,96.9138,
Turkey,2010,26.9019,10.3577,93.9763,72.327,36.7627,35.5642,96.7399,
Turkey,2017,25.0028,12.1021,105.3967,81.1165,41.1382,39.9782,97.1802,783.562
Turkey,2020,23.9421,13.0672,109.5839,84.3391,42.7029,41.6361,97.5018,
Turkmenistan,2005,32.6073,6.0641,10.1178,4.7546,2.4158,2.3389,96.8177,
Turkmenistan,2010,29.5174,6.0788,10.8255,5.0872,2.5847,2.5025,96.8204,
Turkmenistan,2017,30.9103,7.2795,12.2522,5.7577,2.9226,2.8351,97.0061,488.1
Turkmenistan,2020,30.7918,8.1006,12.8343,6.0312,3.0619,2.9693,96.9768,
Turks and Caicos Islands,2001,28.6282,5.2499,21.2474,0.0202,,,99.079,
Turks and Caicos Islands,2005,,,27.84,0.0264,,,99.0762,
Turks and Caicos Islands,2010,,,32.6253,0.031,,,106.7106,
Turks and Caicos Islands,2017,19.1647,7.5719,37.3116,0.0354,,,104.1034,0.9482
Turks and Caicos Islands,2020,,,38.8979,0.037,,,,
Tuvalu,2002,36.1678,8.6079,321.1667,0.0096,,,97.8684,
Tuvalu,2005,,,334.2333,0.01,,,,
Tuvalu,2010,,,351.0333,0.0105,,,,
Tuvalu,2016,31.1055,9.9178,369.9,0.0111,,,102.0,
Tuvalu,2017,,,373.0667,0.0112,,,,0.026
Tuvalu,2020,,,383.3,0.0115,,,,
Uganda,2005,49.6674,3.1502,138.5546,27.6846,14.0456,13.639,97.1057,
Uganda,2010,49.0926,3.0312,162.295,32.4282,16.5133,15.9148,96.3755,
Uganda,2017,47.3199,3.1297,206.0287,41.1666,20.9184,20.2482,96.7959,241.55
Uganda,2020,46.0159,3.2269,228.9225,45.741,23.1944,22.5466,97.207,
Ukraine,2005,14.6234,20.368,80.9411,46.8908,25.1407,21.7501,86.5136,
Ukraine,2010,14.126,20.9527,79.0446,45.7921,24.6553,21.1368,85.7294,
Ukraine,2017,15.629,22.8226,76.793,44.4877,23.8899,20.5978,86.22,603.5
Ukraine,2020,15.9905,23.6434,75.4915,43.7338,23.4706,20.2631,86.3341,
United Arab Emirates,2005,18.3413,1.6024,54.8831,4.5882,1.3587,3.2295,237.6863,
United Arab Emirates,2010,13.1563,1.3995,102.2726,8.55,2.154,6.396,296.9299,
United Arab Emirates,2017,14.5044,2.2087,113.4833,9.4872,2.8917,6.5955,228.0813,83.6
United Arab Emirates,2020,14.8141,3.1447,118.3062,9.8904,3.0541,6.8363,223.8453,
United Kingdom,2005,17.9777,21.2185,249.1959,60.288,30.7705,29.5175,95.928,
United Kingdom,2010,17.4955,22.6108,262.3065,63.4598,32.2845,31.1753,96.5642,
United Kingdom,2017,17.635,23.6954,275.8131,66.7275,33.8034,32.9241,97.3988,242.495
United Kingdom,2020,17.6773,24.4057,280.6019,67.886,34.3436,33.5424,97.6672,
United Rep. of Tanzania,2005,44.7556,4.0787,43.4075,38.4503,19.3122,19.1381,99.0988,
United Rep. of Tanzania,2010,44.8756,4.0287,50.0638,44.3465,22.2271,22.1195,99.5159,
United Rep. of Tanzania,2017,44.3164,4.1031,61.7073,54.6603,27.3654,27.2949,99.7424,947.303
United Rep. of Tanzania,2020,43.5544,4.2309,67.4353,59.7342,29.8831,29.8511,99.8929,
United States Virgin Islands,2005,22.414,16.616,307.9829,0.1078,0.0557,0.0521,93.4865,
United States Virgin Islands,2010,20.7377,20.4445,303.1057,0.1061,0.0553,0.0508,91.7714,
United States Virgin Islands,2017,19.9168,25.4699,299.2886,0.1048,0.0549,0.0499,90.8097,0.347
United States Virgin Islands,2020,19.2559,27.6371,298.3571,0.1044,0.0548,0.0496,90.4765,
United States of America,2005,20.8811,16.6797,32.2488,294.9935,149.4254,145.5681,97.4185,
United States of America,2010,20.2048,18.3749,33.7813,309.0115,156.4006,152.6109,97.577,
United States of America,2017,18.8585,21.4902,35.5384,325.0848,164.2438,160.8409,97.9282,9833.5168
United States of America,2020,18.3717,22.8753,36.1854,331.0027,167.2166,163.786,97.9484,
Uruguay,2005,23.6948,17.9071,18.9796,3.3218,1.7194,1.6024,93.1958,
Uruguay,2010,22.2024,18.5126,19.1937,3.3593,1.7404,1.6189,93.0187,
Uruguay,2017,20.777,19.5796,19.6357,3.4366,1.7781,1.6586,93.2801,173.626
Uruguay,2020,20.335,20.2356,19.8476,3.4737,1.7954,1.6783,93.4803,
Uzbekistan,2005,32.5988,6.5472,62.1246,26.4278,13.2973,13.1304,98.7448,
Uzbekistan,2010,29.1353,6.1811,67.0332,28.5159,14.3337,14.1822,98.9431,
Uzbekistan,2017,28.5183,7.3942,75.1288,31.9598,16.0289,15.9309,99.3886,448.969
Uzbekistan,2020,28.8,8.2798,78.677,33.4692,16.7723,16.6969,99.5507,
Vanuatu,2005,39.6757,5.139,17.1683,0.2093,0.1025,0.1068,104.1377,
Vanuatu,2010,38.2154,5.7068,19.3774,0.2362,0.1163,0.1199,103.1389,
Vanuatu,2017,38.8624,5.7161,23.4217,0.2855,0.1407,0.1448,102.9335,12.189
Vanuatu,2020,38.4102,5.8061,25.1965,0.3071,0.1515,0.1557,102.7928,
Venezuela (Boliv. Rep. of),2005,31.6896,7.4676,29.9671,26.4324,13.2021,13.2304,100.2141,
Venezuela (Boliv. Rep. of),2010,29.9075,8.4035,32.243,28.4399,14.2502,14.1898,99.5759,
Venezuela (Boliv. Rep. of),2017,27.9706,10.5364,33.3343,29.4025,14.8494,14.553,98.0039,912.05
Venezuela (Boliv. Rep. of),2020,27.2627,12.1134,32.2385,28.4359,14.451,13.9849,96.7748,
Viet Nam,2005,27.1022,8.6014,270.3669,83.8327,42.3011,41.5315,98.1806,
Viet Nam,2010,23.6272,8.8259,283.7026,87.9677,44.2213,43.7464,98.926,
Viet Nam,2017,23.0976,10.9879,305.0945,94.6006,47.4076,47.193,99.5473,330.967
Viet Nam,2020,23.194,12.3154,313.9245,97.3386,48.7403,48.5983,99.7085,
Wallis and Futuna Islands,2003,,,104.65,0.0147,,,100.5906,
Wallis and Futuna Islands,2005,,,104.0571,0.0146,,,,
Wallis and Futuna Islands,2008,,,99.8857,0.014,,,98.4209,
Wallis and Futuna Islands,2010,,,95.9143,0.0134,,,,
Wallis and Futuna Islands,2016,25.5,15.4,84.9929,0.0119,,,93.4426,
Wallis and Futuna Islands,2017,,,84.0929,0.0118,,,,0.142
Wallis and Futuna Islands,2020,,,82.5071,0.0116,,,,
Western Sahara,2005,31.5095,3.5775,1.6448,0.4375,0.2068,0.2307,111.5198,
Western Sahara,2010,29.3505,3.8232,1.8055,0.4803,0.2274,0.2529,111.2099,
Western Sahara,2017,28.0562,5.398,2.0775,0.5526,0.263,0.2896,110.1445,266.0
Western Sahara,2020,27.1911,6.3487,2.2456,0.5973,0.2851,0.3123,109.538,
Yemen,2005,46.0576,4.1685,38.0844,20.1074,9.9729,10.1345,101.6199,
Yemen,2010,42.6731,4.2798,43.8564,23.1549,11.4833,11.6716,101.6399,
Yemen,2017,40.0014,4.487,52.7205,27.8348,13.8075,14.0273,101.5918,527.968
Yemen,2020,38.8322,4.6384,56.4918,29.826,14.801,15.025,101.5134,
Zambia,2005,47.015,3.4973,15.9489,11.8562,5.9953,5.8609,97.7584,
Zambia,2010,47.2891,3.2923,18.3026,13.606,6.8875,6.7185,97.5468,
Zambia,2017,45.4114,3.3133,22.6713,16.8536,8.5108,8.3428,98.025,752.612
Zambia,2020,44.0174,3.4242,24.7299,18.384,9.281,9.103,98.0827,
Zimbabwe,2005,41.3469,4.7155,31.218,12.0767,6.293,5.7837,91.9065,
Zimbabwe,2010,41.6098,4.4003,32.8234,12.6977,6.6487,6.049,90.9805,
Zimbabwe,2017,42.5979,4.4723,36.8013,14.2366,7.4595,6.7771,90.8508,390.757
Zimbabwe,2020,41.9111,4.6319,38.4204,14.8629,7.7709,7.092,91.2635,
